product_name,price_raw,product_url,scraped_at,price_value,currency
ПЛАТЬЕ МИДИ ИЗ МАРЛИ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D0%B8%D0%B7-%D0%BC%D0%B0%D1%80%D0%BB%D0%B8-p00881320.html,2025-12-02T12:49:07,28990.0,KZT
КОМБИНИРОВАННОЕ ПЛАТЬЕ-МИДИ,"T 31 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-p05029116.html,2025-12-02T12:49:07,31990.0,KZT
КОРОТКОЕ ПЛАТЬЕ С ОБЪЕМНЫМИ РУКАВАМИ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BD%D1%8B%D0%BC%D0%B8-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%B0%D0%BC%D0%B8-p09782536.html,2025-12-02T12:49:07,28990.0,KZT
АСИММЕТРИЧНОЕ АТЛАСНОЕ ПЛАТЬЕ — ZW COLLECTION,"T 45 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%E2%80%94-zw-collection-p08073126.html,2025-12-02T12:49:07,45990.0,KZT
ПЛАТЬЕ ХАЛТЕР С АНИМАЛИСТИЧЕСКИМ ПРИНТОМ — ZW COLLECTION,"T 49 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%85%D0%B0%D0%BB%D1%82%D0%B5%D1%80-%D1%81-%D0%B0%D0%BD%D0%B8%D0%BC%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%BC-%D0%BF%D1%80%D0%B8%D0%BD%D1%82%D0%BE%D0%BC-%E2%80%94-zw-collection-p08753008.html,2025-12-02T12:49:07,49990.0,KZT
ПЛАТЬЕ ИЗ ПОПЛИНА СО СБОРКАМИ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D0%BF%D0%BE%D0%BF%D0%BB%D0%B8%D0%BD%D0%B0-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p08678325.html,2025-12-02T12:49:07,39990.0,KZT
КОРОТКОЕ ПЛАТЬЕ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%E2%80%94-zw-collection-p09191199.html,2025-12-02T12:49:07,39990.0,KZT
БАРХАТНОЕ ПЛАТЬЕ — ZW COLLECTION,"T 49 990,00",https://www.zara.com/kz/ru/%D0%B1%D0%B0%D1%80%D1%85%D0%B0%D1%82%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%E2%80%94-zw-collection-p04786324.html,2025-12-02T12:49:07,49990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ МИДИ С ОТКРЫТОЙ СПИНОЙ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81-%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%BE%D0%B8-%D1%81%D0%BF%D0%B8%D0%BD%D0%BE%D0%B8-p08807399.html,2025-12-02T12:49:07,28990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ МИДИ С ВЫРЕЗАМИ,"T 31 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81-%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%B0%D0%BC%D0%B8-p08351221.html,2025-12-02T12:49:07,31990.0,KZT
